Frame,locX,locY,locZ,scaleX,scaleY,scaleZ
1,0,0,0,1,1,1
2,0,0,0,1,0.612,1
3,0,0,0,1,0.397,1
4,0.04,0,0,1,0.454,1
5,0.154,0,0,1,0.599,1
6,0.335,0,0,1,0.797,1
7,0.575,0,0,1,1.013,1
8,0.868,1.277,0,1,1.211,1
9,1.205,2.435,0,1,1.356,1
10,1.579,3.459,0,1,1.412,1
11,1.983,4.331,0,1,1.379,1
12,2.41,5.038,0,1,1.309,1
13,2.851,5.562,0,1,1.219,1
14,3.3,5.888,0,1,1.115,1
15,3.749,6,0,1,1,1
16,4.19,5.928,0,1,1,1
17,4.617,5.717,0,1,1,1
18,5.021,5.375,0,1,1,1
19,5.395,4.91,0,1,1,1
20,5.732,4.331,0,1,1,1
21,6.025,3.646,0,1,1,1
22,6.265,2.862,0,1,1,1
23,6.446,1.987,0,1,1,1
24,6.56,1.031,0,1,1,1
25,6.6,0,0,1,1,1
26,6.6,0,0,1,0.612,1
27,6.6,0,0,1,0.397,1
28,6.6,0,0,1,0.454,1
29,6.6,0,0,1,0.599,1
30,6.6,0,0,1,0.797,1
31,6.6,0,0,1,1.013,1
32,6.6,1.277,0,1,1.211,1
33,6.6,2.435,0,1,1.356,1
34,6.6,3.459,0,1,1.412,1
35,6.6,4.331,0,1,1.379,1
36,6.6,5.038,0,1,1.309,1
37,6.6,5.562,0,1,1.219,1
38,6.6,5.888,0,1,1.115,1
39,6.6,6,0,1,1,1
40,6.6,5.928,0,1,1,1
41,6.6,5.717,0,1,1,1
42,6.6,5.375,0,1,1,1
43,6.6,4.91,0,1,1,1
44,6.6,4.331,0,1,1,1
45,6.6,3.646,0,1,1,1
46,6.6,2.862,0,1,1,1
47,6.6,1.987,0,1,1,1
48,6.6,1.031,0,1,1,1
49,6.6,0,0,1,1,1
50,6.567,0,0,1,0.612,1
51,6.47,0,0,1,0.397,1
52,6.316,0,0,1,0.454,1
53,6.111,0,0,1,0.599,1
54,5.86,0,0,1,0.797,1
55,5.569,0,0,1,1.013,1
56,5.243,1.277,0,1,1.211,1
57,4.889,2.435,0,1,1.356,1
58,4.512,3.459,0,1,1.412,1
59,4.117,4.331,0,1,1.379,1
60,3.712,5.038,0,1,1.309,1
61,3.3,5.562,0,1,1.219,1
62,2.888,5.888,0,1,1.115,1
63,2.483,6,0,1,1,1
64,2.088,5.928,0,1,1,1
65,1.711,5.717,0,1,1,1
66,1.357,5.375,0,1,1,1
67,1.031,4.91,0,1,1,1
68,0.74,4.331,0,1,1,1
69,0.489,3.646,0,1,1,1
70,0.284,2.862,0,1,1,1
71,0.13,1.987,0,1,1,1
72,0.033,1.031,0,1,1,1
73,0,0,0,1,1,1
74,0,0,0,1,0.612,1
75,0,0,0,1,0.397,1
76,0,0,0,1,0.454,1
77,0,0,0,1,0.599,1
78,0,0,0,1,0.797,1
79,0,0,0,1,1.013,1
80,0,1.277,0,1,1.211,1
81,0,2.435,0,1,1.356,1
82,0,3.459,0,1,1.412,1
83,0,4.331,0,1,1.379,1
84,0,5.038,0,1,1.309,1
85,0,5.562,0,1,1.219,1
86,0,5.888,0,1,1.115,1
87,0,6,0,1,1,1
88,0,5.928,0,1,1,1
89,0,5.717,0,1,1,1
90,0,5.375,0,1,1,1
91,0,4.91,0,1,1,1
92,0,4.331,0,1,1,1
93,0,3.646,0,1,1,1
94,0,2.862,0,1,1,1
95,0,1.987,0,1,1,1
96,0,1.031,0,1,1,1
97,0,0,0,1,1,1
